group,variable,value,treatment
H6,AbSal Mouse46,0,Sal
H7,AbSal Mouse46,0,Sal
H8,AbSal Mouse46,0,Sal
H9,AbSal Mouse46,0,Sal
H10,AbSal Mouse46,0,Sal
H11,AbSal Mouse46,0,Sal
H12,AbSal Mouse46,0,Sal
H1,AbSal Mouse23,0,Sal
H2,AbSal Mouse23,0,Sal
H3,AbSal Mouse23,0,Sal
H4,AbSal Mouse23,0,Sal
H5,AbSal Mouse23,0,Sal
H6,AbSal Mouse23,0,Sal
H7,AbSal Mouse23,0,Sal
H8,AbSal Mouse23,0,Sal
H9,AbSal Mouse23,0,Sal
H10,AbSal Mouse23,0,Sal
H11,AbSal Mouse23,0,Sal
H12,AbSal Mouse23,0,Sal
H1,AbSal Mouse24,0,Sal
H2,AbSal Mouse24,0,Sal
H3,AbSal Mouse24,0,Sal
H4,AbSal Mouse24,0,Sal
H5,AbSal Mouse24,0,Sal
H6,AbSal Mouse24,0,Sal
H7,AbSal Mouse24,0,Sal
H8,AbSal Mouse24,0,Sal
H9,AbSal Mouse24,0,Sal
H10,AbSal Mouse24,0,Sal
H11,AbSal Mouse24,0,Sal
H12,AbSal Mouse24,0,Sal
H1,AbSal Mouse27,0,Sal
H2,AbSal Mouse27,0,Sal
H3,AbSal Mouse27,0,Sal
H4,AbSal Mouse27,0,Sal
H5,AbSal Mouse27,0,Sal
H6,AbSal Mouse27,0,Sal
H7,AbSal Mouse27,0,Sal
H8,AbSal Mouse27,0,Sal
H9,AbSal Mouse27,0,Sal
H10,AbSal Mouse27,0,Sal
H11,AbSal Mouse27,0,Sal
H12,AbSal Mouse27,0,Sal
H1,AbSal Mouse39,0,Sal
H2,AbSal Mouse39,0,Sal
H3,AbSal Mouse39,0,Sal
H4,AbSal Mouse39,0,Sal
H5,AbSal Mouse39,0,Sal
H6,AbSal Mouse39,0,Sal
H7,AbSal Mouse39,0,Sal
H8,AbSal Mouse39,0,Sal
H9,AbSal Mouse39,0,Sal
H10,AbSal Mouse39,0,Sal
H11,AbSal Mouse39,1,Sal
H12,AbSal Mouse39,0,Sal
H1,AbSal Mouse4,3,KA
H2,AbSal Mouse4,6,KA
H3,AbSal Mouse4,1,KA
H4,AbSal Mouse4,0,KA
H5,AbSal Mouse4,0,KA
H6,AbSal Mouse4,0,KA
H7,AbSal Mouse4,0,KA
H8,AbSal Mouse4,0,KA
H9,AbSal Mouse4,0,KA
H10,AbSal Mouse4,0,KA
H11,AbSal Mouse4,0,KA
H12,AbSal Mouse4,0,KA
H1,AbSal Mouse7,8,KA
H2,AbSal Mouse7,3,KA
H3,AbSal Mouse7,3,KA
H4,AbSal Mouse7,0,KA
H5,AbSal Mouse7,0,KA
H6,AbSal Mouse7,1,KA
H7,AbSal Mouse7,0,KA
H8,AbSal Mouse7,0,KA
H9,AbSal Mouse7,0,KA
H10,AbSal Mouse7,0,KA
H11,AbSal Mouse7,0,KA
H12,AbSal Mouse7,0,KA
H1,AbSal Mouse8,15,KA
H2,AbSal Mouse8,16,KA
H3,AbSal Mouse8,3,KA
H4,AbSal Mouse8,0,KA
H5,AbSal Mouse8,1,KA
H6,AbSal Mouse8,4,KA
H7,AbSal Mouse8,0,KA
H8,AbSal Mouse8,0,KA
H9,AbSal Mouse8,0,KA
H10,AbSal Mouse8,0,KA
H11,AbSal Mouse8,0,KA
H12,AbSal Mouse8,0,KA
H1,AbSal Mouse47,0,KA
H2,AbSal Mouse47,0,KA
H3,AbSal Mouse47,0,KA
H4,AbSal Mouse47,0,KA
H5,AbSal Mouse47,0,KA
H6,AbSal Mouse47,0,KA
H7,AbSal Mouse47,0,KA
H8,AbSal Mouse47,0,KA
H9,AbSal Mouse47,0,KA
H10,AbSal Mouse47,0,KA
H11,AbSal Mouse47,0,KA
H12,AbSal Mouse47,0,KA
H1,AbSal Mouse20,3,KA
H2,AbSal Mouse20,4,KA
H3,AbSal Mouse20,1,KA
H4,AbSal Mouse20,0,KA
H5,AbSal Mouse20,0,KA
H6,AbSal Mouse20,0,KA
H7,AbSal Mouse20,0,KA
H8,AbSal Mouse20,0,KA
H9,AbSal Mouse20,0,KA
H10,AbSal Mouse20,0,KA
H11,AbSal Mouse20,0,KA
H12,AbSal Mouse20,0,KA
H1,AbSal Mouse21,9,KA
H2,AbSal Mouse21,2,KA
H3,AbSal Mouse21,2,KA
H4,AbSal Mouse21,0,KA
H5,AbSal Mouse21,0,KA
H6,AbSal Mouse21,0,KA
H7,AbSal Mouse21,0,KA
H8,AbSal Mouse21,0,KA
H9,AbSal Mouse21,0,KA
H10,AbSal Mouse21,0,KA
H11,AbSal Mouse21,0,KA
H12,AbSal Mouse21,0,KA
H1,AbSal Mouse32,16,KA
H2,AbSal Mouse32,5,KA
H3,AbSal Mouse32,0,KA
H4,AbSal Mouse32,0,KA
H5,AbSal Mouse32,0,KA
H6,AbSal Mouse32,0,KA
H7,AbSal Mouse32,0,KA
H8,AbSal Mouse32,0,KA
H9,AbSal Mouse32,0,KA
H10,AbSal Mouse32,0,KA
H11,AbSal Mouse32,0,KA
H12,AbSal Mouse32,0,KA
