activity	time	p	p_peak	p_smooth
Mouse2, F, NoAbCec	1440	0	0	0
Mouse4, F, AbSal	1440	0	0	0
Mouse5, F, AbCec	1440	0	0	0
Mouse7, F, AbSal	1440	0	0	0
Mouse9, F, NoAbCec	1440	0	0	0
Mouse2, F, NoAbCec	1440.083	0	0	0
Mouse4, F, AbSal	1440.083	0	0	0
Mouse5, F, AbCec	1440.083	0	0	0
Mouse7, F, AbSal	1440.083	0	0	0
Mouse9, F, NoAbCec	1440.083	0	0	0
Mouse2, F, NoAbCec	1440.167	0	0	0
Mouse4, F, AbSal	1440.167	0	0	0
Mouse5, F, AbCec	1440.167	0	0	0
Mouse7, F, AbSal	1440.167	0	0	0
Mouse9, F, NoAbCec	1440.167	0	0	0
Mouse2, F, NoAbCec	1440.25	0	0	0
Mouse4, F, AbSal	1440.25	0	0	0
Mouse5, F, AbCec	1440.25	0	0	0
Mouse7, F, AbSal	1440.25	0	0	0
Mouse9, F, NoAbCec	1440.25	0	0	0
Mouse2, F, NoAbCec	1440.333	0	0	0
Mouse4, F, AbSal	1440.333	0	0	0
Mouse5, F, AbCec	1440.333	0	0	0
Mouse7, F, AbSal	1440.333	0	0	0
Mouse9, F, NoAbCec	1440.333	0	0	0
Mouse2, F, NoAbCec	1440.417	0	0	0
Mouse4, F, AbSal	1440.417	0	0	0
Mouse5, F, AbCec	1440.417	0	0	0
Mouse7, F, AbSal	1440.417	0	0	0
Mouse9, F, NoAbCec	1440.417	0	0	0
Mouse2, F, NoAbCec	1440.5	0	0	0
Mouse4, F, AbSal	1440.5	0	0	0
Mouse5, F, AbCec	1440.5	0	0	0
Mouse7, F, AbSal	1440.5	0	0	0
Mouse9, F, NoAbCec	1440.5	0	0	0
Mouse2, F, NoAbCec	1440.583	0	0	0
Mouse4, F, AbSal	1440.583	0	0	0
Mouse5, F, AbCec	1440.583	0	0	0
Mouse7, F, AbSal	1440.583	0	0	0
Mouse9, F, NoAbCec	1440.583	0	0	0
Mouse2, F, NoAbCec	1440.667	0	0	0
Mouse4, F, AbSal	1440.667	0	0	0
Mouse5, F, AbCec	1440.667	0	0	0
Mouse7, F, AbSal	1440.667	0	0	0
Mouse9, F, NoAbCec	1440.667	0	0	0
Mouse2, F, NoAbCec	1440.75	0	0	0
Mouse4, F, AbSal	1440.75	0	0	0
Mouse5, F, AbCec	1440.75	0	0	0
Mouse7, F, AbSal	1440.75	0	0	0
Mouse9, F, NoAbCec	1440.75	0	0	0
Mouse2, F, NoAbCec	1440.833	0	0	0
Mouse4, F, AbSal	1440.833	0	0	0
Mouse5, F, AbCec	1440.833	0	0	0
Mouse7, F, AbSal	1440.833	0	0	0
Mouse9, F, NoAbCec	1440.833	0	0	0
Mouse2, F, NoAbCec	1440.917	0	0	0
Mouse4, F, AbSal	1440.917	0	0	0
Mouse5, F, AbCec	1440.917	0	0	0
Mouse7, F, AbSal	1440.917	0	0	0
Mouse9, F, NoAbCec	1440.917	0	0	0
Mouse2, F, NoAbCec	1441	0	0	0
Mouse4, F, AbSal	1441	0	0	0
Mouse5, F, AbCec	1441	0	0	0
Mouse7, F, AbSal	1441	0	0	0
Mouse9, F, NoAbCec	1441	0	0	0
Mouse2, F, NoAbCec	1441.083	0	0	0
Mouse4, F, AbSal	1441.083	0	0	0
Mouse5, F, AbCec	1441.083	0	0	0
Mouse7, F, AbSal	1441.083	0	0	0
Mouse9, F, NoAbCec	1441.083	0	0	0
Mouse2, F, NoAbCec	1441.167	0	0	0
Mouse4, F, AbSal	1441.167	0	0	0
Mouse5, F, AbCec	1441.167	0	0	0
Mouse7, F, AbSal	1441.167	0	0	0
Mouse9, F, NoAbCec	1441.167	0	0	0
Mouse2, F, NoAbCec	1441.25	0	0	0
Mouse4, F, AbSal	1441.25	0	0	0
Mouse5, F, AbCec	1441.25	0	0	0
Mouse7, F, AbSal	1441.25	0	0	0
Mouse9, F, NoAbCec	1441.25	0	0	0
Mouse2, F, NoAbCec	1441.333	0	0	0
Mouse4, F, AbSal	1441.333	0	0	0
Mouse5, F, AbCec	1441.333	0	0	0
Mouse7, F, AbSal	1441.333	0	0	0
Mouse9, F, NoAbCec	1441.333	0	0	0
Mouse2, F, NoAbCec	1441.417	0	0	0
Mouse4, F, AbSal	1441.417	0	0	0
Mouse5, F, AbCec	1441.417	0	0	0
Mouse7, F, AbSal	1441.417	0	0	0
Mouse9, F, NoAbCec	1441.417	0	0	0
Mouse2, F, NoAbCec	1441.5	0	0	0
Mouse4, F, AbSal	1441.5	0	0	0
Mouse5, F, AbCec	1441.5	0	0	0
Mouse7, F, AbSal	1441.5	0	0	0
Mouse9, F, NoAbCec	1441.5	0	0	0
Mouse2, F, NoAbCec	1441.583	0	0	0
Mouse4, F, AbSal	1441.583	0	0	0
Mouse5, F, AbCec	1441.583	0	0	0
Mouse7, F, AbSal	1441.583	0	0	0
Mouse9, F, NoAbCec	1441.583	0	0	0
Mouse2, F, NoAbCec	1441.667	0	0	0
Mouse4, F, AbSal	1441.667	0	0	0
Mouse5, F, AbCec	1441.667	0	0	0
Mouse7, F, AbSal	1441.667	0	0	0
Mouse9, F, NoAbCec	1441.667	0	0	0
Mouse2, F, NoAbCec	1441.75	0	0	0
Mouse4, F, AbSal	1441.75	0	0	0
Mouse5, F, AbCec	1441.75	0	0	0
Mouse7, F, AbSal	1441.75	0	0	0
Mouse9, F, NoAbCec	1441.75	0	0	0
Mouse2, F, NoAbCec	1441.833	0	0	0
Mouse4, F, AbSal	1441.833	0	0	0
Mouse5, F, AbCec	1441.833	0	0	0
Mouse7, F, AbSal	1441.833	0	0	0
Mouse9, F, NoAbCec	1441.833	0	0	0
Mouse2, F, NoAbCec	1441.917	0	0	0
Mouse4, F, AbSal	1441.917	0	0	0
Mouse5, F, AbCec	1441.917	0	0	0
Mouse7, F, AbSal	1441.917	0	0	0
Mouse9, F, NoAbCec	1441.917	0	0	0
Mouse2, F, NoAbCec	1442	0	0	0
Mouse4, F, AbSal	1442	0	0	0
Mouse5, F, AbCec	1442	0	0	0
Mouse7, F, AbSal	1442	0	0	0
Mouse9, F, NoAbCec	1442	0	0	0
Mouse2, F, NoAbCec	1442.083	0	0	0
Mouse4, F, AbSal	1442.083	0	0	0
Mouse5, F, AbCec	1442.083	0	0	0
Mouse7, F, AbSal	1442.083	0	0	0
Mouse9, F, NoAbCec	1442.083	0	0	0
Mouse2, F, NoAbCec	1442.167	0	0	0
Mouse4, F, AbSal	1442.167	0	0	0
Mouse5, F, AbCec	1442.167	0	0	0
Mouse7, F, AbSal	1442.167	0	0	0
Mouse9, F, NoAbCec	1442.167	0	0	0
Mouse2, F, NoAbCec	1442.25	0	0	0
Mouse4, F, AbSal	1442.25	0	0	0
Mouse5, F, AbCec	1442.25	0	0	0
Mouse7, F, AbSal	1442.25	0	0	0
Mouse9, F, NoAbCec	1442.25	0	0	0
Mouse2, F, NoAbCec	1442.333	0	0	0
Mouse4, F, AbSal	1442.333	0	0	0
Mouse5, F, AbCec	1442.333	0	0	0
Mouse7, F, AbSal	1442.333	0	0	0
Mouse9, F, NoAbCec	1442.333	0	0	0
Mouse2, F, NoAbCec	1442.417	0	0	0
Mouse4, F, AbSal	1442.417	0	0	0
Mouse5, F, AbCec	1442.417	0	0	0
Mouse7, F, AbSal	1442.417	0	0	0
Mouse9, F, NoAbCec	1442.417	0	0	0
Mouse2, F, NoAbCec	1442.5	0	0	0
Mouse4, F, AbSal	1442.5	0	0	0
Mouse5, F, AbCec	1442.5	0	0	0
Mouse7, F, AbSal	1442.5	0	0	0
Mouse9, F, NoAbCec	1442.5	0	0	0
Mouse2, F, NoAbCec	1442.583	0	0	0
Mouse4, F, AbSal	1442.583	0	0	0
Mouse5, F, AbCec	1442.583	0	0	0
Mouse7, F, AbSal	1442.583	0	0	0
Mouse9, F, NoAbCec	1442.583	0	0	0
Mouse2, F, NoAbCec	1442.667	0	0	0
Mouse4, F, AbSal	1442.667	0	0	0
Mouse5, F, AbCec	1442.667	0	0	0
Mouse7, F, AbSal	1442.667	0	0	0
Mouse9, F, NoAbCec	1442.667	0	0	0
Mouse2, F, NoAbCec	1442.75	0	0	0
Mouse4, F, AbSal	1442.75	0	0	0
Mouse5, F, AbCec	1442.75	0	0	0
Mouse7, F, AbSal	1442.75	0	0	0
Mouse9, F, NoAbCec	1442.75	0	0	0
Mouse2, F, NoAbCec	1442.833	0	0	0
Mouse4, F, AbSal	1442.833	0	0	0
Mouse5, F, AbCec	1442.833	0	0	0
Mouse7, F, AbSal	1442.833	0	0	0
Mouse9, F, NoAbCec	1442.833	0	0	0
Mouse2, F, NoAbCec	1442.917	0	0	0
Mouse4, F, AbSal	1442.917	0	0	0
Mouse5, F, AbCec	1442.917	0	0	0
Mouse7, F, AbSal	1442.917	0	0	0
Mouse9, F, NoAbCec	1442.917	0	0	0
Mouse2, F, NoAbCec	1443	0	0	0
Mouse4, F, AbSal	1443	0	0	0
Mouse5, F, AbCec	1443	0	0	0
Mouse7, F, AbSal	1443	0	0	0
Mouse9, F, NoAbCec	1443	0	0	0
Mouse2, F, NoAbCec	1443.083	0	0	0
Mouse4, F, AbSal	1443.083	0	0	0
Mouse5, F, AbCec	1443.083	0	0	0
Mouse7, F, AbSal	1443.083	0	0	0
Mouse9, F, NoAbCec	1443.083	0	0	0
Mouse2, F, NoAbCec	1443.167	0	0	0
Mouse4, F, AbSal	1443.167	0	0	0
Mouse5, F, AbCec	1443.167	0	0	0
Mouse7, F, AbSal	1443.167	0	0	0
Mouse9, F, NoAbCec	1443.167	0	0	0
Mouse2, F, NoAbCec	1443.25	0	0	0
Mouse4, F, AbSal	1443.25	0	0	0
Mouse5, F, AbCec	1443.25	0	0	0
Mouse7, F, AbSal	1443.25	0	0	0
Mouse9, F, NoAbCec	1443.25	0	0	0
Mouse2, F, NoAbCec	1443.333	0	0	0
Mouse4, F, AbSal	1443.333	0	0	0
Mouse5, F, AbCec	1443.333	0	0	0
Mouse7, F, AbSal	1443.333	0	0	0
Mouse9, F, NoAbCec	1443.333	0	0	0
Mouse2, F, NoAbCec	1443.417	0	0	0
Mouse4, F, AbSal	1443.417	0	0	0
Mouse5, F, AbCec	1443.417	0	0	0
Mouse7, F, AbSal	1443.417	0	0	0
Mouse9, F, NoAbCec	1443.417	0	0	0
Mouse2, F, NoAbCec	1443.5	0	0	0
Mouse4, F, AbSal	1443.5	0	0	0
Mouse5, F, AbCec	1443.5	0	0	0
Mouse7, F, AbSal	1443.5	0	0	0
Mouse9, F, NoAbCec	1443.5	0	0	0
Mouse2, F, NoAbCec	1443.583	0	0	0
Mouse4, F, AbSal	1443.583	0	0	0
Mouse5, F, AbCec	1443.583	0	0	0
Mouse7, F, AbSal	1443.583	0	0	0
Mouse9, F, NoAbCec	1443.583	0	0	0
Mouse2, F, NoAbCec	1443.667	0	0	0
Mouse4, F, AbSal	1443.667	0	0	0
Mouse5, F, AbCec	1443.667	0	0	0
Mouse7, F, AbSal	1443.667	0	0	0
Mouse9, F, NoAbCec	1443.667	0	0	0
Mouse2, F, NoAbCec	1443.75	0	0	0
Mouse4, F, AbSal	1443.75	0	0	0
Mouse5, F, AbCec	1443.75	0	0	0
Mouse7, F, AbSal	1443.75	0	0	0
Mouse9, F, NoAbCec	1443.75	0	0	0
Mouse2, F, NoAbCec	1443.833	0	0	0
Mouse4, F, AbSal	1443.833	0	0	0
Mouse5, F, AbCec	1443.833	0	0	0
Mouse7, F, AbSal	1443.833	0	0	0
Mouse9, F, NoAbCec	1443.833	0	0	0
Mouse2, F, NoAbCec	1443.917	0	0	0
Mouse4, F, AbSal	1443.917	0	0	0
Mouse5, F, AbCec	1443.917	0	0	0
Mouse7, F, AbSal	1443.917	0	0	0
Mouse9, F, NoAbCec	1443.917	0	0	0
Mouse2, F, NoAbCec	1444	0	0	0
Mouse4, F, AbSal	1444	0	0	0
Mouse5, F, AbCec	1444	0	0	0
Mouse7, F, AbSal	1444	0	0	0
Mouse9, F, NoAbCec	1444	0	0	0
Mouse2, F, NoAbCec	1444.083	0	0	0
Mouse4, F, AbSal	1444.083	0	0	0
Mouse5, F, AbCec	1444.083	0	0	0
Mouse7, F, AbSal	1444.083	0	0	0
Mouse9, F, NoAbCec	1444.083	0	0	0
Mouse2, F, NoAbCec	1444.167	0	0	0
Mouse4, F, AbSal	1444.167	0	0	0
Mouse5, F, AbCec	1444.167	0	0	0
Mouse7, F, AbSal	1444.167	0	0	0
Mouse9, F, NoAbCec	1444.167	0	0	0
Mouse2, F, NoAbCec	1444.25	0	0	0
Mouse4, F, AbSal	1444.25	0	0	0
Mouse5, F, AbCec	1444.25	0	0	0
Mouse7, F, AbSal	1444.25	0	0	0
Mouse9, F, NoAbCec	1444.25	0	0	0
Mouse2, F, NoAbCec	1444.333	0	0	0
Mouse4, F, AbSal	1444.333	0	0	0
Mouse5, F, AbCec	1444.333	0	0	0
Mouse7, F, AbSal	1444.333	0	0	0
Mouse9, F, NoAbCec	1444.333	0	0	0
Mouse2, F, NoAbCec	1444.417	0	0	0
Mouse4, F, AbSal	1444.417	0	0	0
Mouse5, F, AbCec	1444.417	0	0	0
Mouse7, F, AbSal	1444.417	0	0	0
Mouse9, F, NoAbCec	1444.417	0	0	0
Mouse2, F, NoAbCec	1444.5	0	0	0
Mouse4, F, AbSal	1444.5	0	0	0
Mouse5, F, AbCec	1444.5	0	0	0
Mouse7, F, AbSal	1444.5	0	0	0
Mouse9, F, NoAbCec	1444.5	0	0	0
Mouse2, F, NoAbCec	1444.583	0	0	0
Mouse4, F, AbSal	1444.583	0	0	0
Mouse5, F, AbCec	1444.583	0	0	0
Mouse7, F, AbSal	1444.583	0	0	0
Mouse9, F, NoAbCec	1444.583	0	0	0
Mouse2, F, NoAbCec	1444.667	0	0	0
Mouse4, F, AbSal	1444.667	0	0	0
Mouse5, F, AbCec	1444.667	0	0	0
Mouse7, F, AbSal	1444.667	0	0	0
Mouse9, F, NoAbCec	1444.667	0	0	0
Mouse2, F, NoAbCec	1444.75	0	0	0
Mouse4, F, AbSal	1444.75	0	0	0
Mouse5, F, AbCec	1444.75	0	0	0
Mouse7, F, AbSal	1444.75	0	0	0
Mouse9, F, NoAbCec	1444.75	0	0	0
Mouse2, F, NoAbCec	1444.833	0	0	0
Mouse4, F, AbSal	1444.833	0	0	0
Mouse5, F, AbCec	1444.833	0	0	0
Mouse7, F, AbSal	1444.833	0	0	0
Mouse9, F, NoAbCec	1444.833	0	0	0
Mouse2, F, NoAbCec	1444.917	0	0	0
Mouse4, F, AbSal	1444.917	0	0	0
Mouse5, F, AbCec	1444.917	0	0	0.3333333333333333
Mouse7, F, AbSal	1444.917	0	0	0
Mouse9, F, NoAbCec	1444.917	0	0	0
Mouse2, F, NoAbCec	1445	0	0	0
Mouse4, F, AbSal	1445	0	0	0
Mouse5, F, AbCec	1445	5.8	1	0.6666666666666666
Mouse7, F, AbSal	1445	0	0	0
Mouse9, F, NoAbCec	1445	0	0	0
Mouse2, F, NoAbCec	1445.083	0	0	0
Mouse4, F, AbSal	1445.083	0	0	0
Mouse5, F, AbCec	1445.083	5.8	1	1
Mouse7, F, AbSal	1445.083	0	0	0
Mouse9, F, NoAbCec	1445.083	0	0	0
Mouse2, F, NoAbCec	1445.167	0	0	0
Mouse4, F, AbSal	1445.167	0	0	0.04715447154471544
Mouse5, F, AbCec	1445.167	5.8	1	1
Mouse7, F, AbSal	1445.167	0	0	0
Mouse9, F, NoAbCec	1445.167	0	0	0
Mouse2, F, NoAbCec	1445.25	0	0	0
Mouse4, F, AbSal	1445.25	5.8	0.14146341463414633	0.09430894308943089
Mouse5, F, AbCec	1445.25	5.8	1	1
Mouse7, F, AbSal	1445.25	0	0	0
Mouse9, F, NoAbCec	1445.25	0	0	0
Mouse2, F, NoAbCec	1445.333	0	0	0
Mouse4, F, AbSal	1445.333	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.333	5.8	1	1
Mouse7, F, AbSal	1445.333	0	0	0
Mouse9, F, NoAbCec	1445.333	0	0	0
Mouse2, F, NoAbCec	1445.417	0	0	0
Mouse4, F, AbSal	1445.417	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.417	5.8	1	1
Mouse7, F, AbSal	1445.417	0	0	0
Mouse9, F, NoAbCec	1445.417	0	0	0
Mouse2, F, NoAbCec	1445.5	0	0	0
Mouse4, F, AbSal	1445.5	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.5	5.8	1	1
Mouse7, F, AbSal	1445.5	0	0	0
Mouse9, F, NoAbCec	1445.5	0	0	0
Mouse2, F, NoAbCec	1445.583	0	0	0
Mouse4, F, AbSal	1445.583	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.583	5.8	1	1
Mouse7, F, AbSal	1445.583	0	0	0
Mouse9, F, NoAbCec	1445.583	0	0	0
Mouse2, F, NoAbCec	1445.667	0	0	0
Mouse4, F, AbSal	1445.667	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.667	5.8	1	1
Mouse7, F, AbSal	1445.667	0	0	0
Mouse9, F, NoAbCec	1445.667	0	0	0
Mouse2, F, NoAbCec	1445.75	0	0	0
Mouse4, F, AbSal	1445.75	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.75	5.8	1	1
Mouse7, F, AbSal	1445.75	0	0	0
Mouse9, F, NoAbCec	1445.75	0	0	0
Mouse2, F, NoAbCec	1445.833	0	0	0
Mouse4, F, AbSal	1445.833	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.833	5.8	1	1
Mouse7, F, AbSal	1445.833	0	0	0
Mouse9, F, NoAbCec	1445.833	0	0	0
Mouse2, F, NoAbCec	1445.917	0	0	0
Mouse4, F, AbSal	1445.917	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1445.917	5.8	1	1
Mouse7, F, AbSal	1445.917	0	0	0
Mouse9, F, NoAbCec	1445.917	0	0	0
Mouse2, F, NoAbCec	1446	0	0	0
Mouse4, F, AbSal	1446	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446	5.8	1	1
Mouse7, F, AbSal	1446	0	0	0
Mouse9, F, NoAbCec	1446	0	0	0
Mouse2, F, NoAbCec	1446.083	0	0	0
Mouse4, F, AbSal	1446.083	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.083	5.8	1	1
Mouse7, F, AbSal	1446.083	0	0	0
Mouse9, F, NoAbCec	1446.083	0	0	0
Mouse2, F, NoAbCec	1446.167	0	0	0
Mouse4, F, AbSal	1446.167	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.167	5.8	1	1
Mouse7, F, AbSal	1446.167	0	0	0
Mouse9, F, NoAbCec	1446.167	0	0	0
Mouse2, F, NoAbCec	1446.25	0	0	0
Mouse4, F, AbSal	1446.25	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.25	5.8	1	1
Mouse7, F, AbSal	1446.25	0	0	0
Mouse9, F, NoAbCec	1446.25	0	0	0
Mouse2, F, NoAbCec	1446.333	0	0	0
Mouse4, F, AbSal	1446.333	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.333	5.8	1	1
Mouse7, F, AbSal	1446.333	0	0	0
Mouse9, F, NoAbCec	1446.333	0	0	0
Mouse2, F, NoAbCec	1446.417	0	0	0
Mouse4, F, AbSal	1446.417	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.417	5.8	1	1
Mouse7, F, AbSal	1446.417	0	0	0
Mouse9, F, NoAbCec	1446.417	0	0	0
Mouse2, F, NoAbCec	1446.5	0	0	0
Mouse4, F, AbSal	1446.5	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.5	5.8	1	1
Mouse7, F, AbSal	1446.5	0	0	0
Mouse9, F, NoAbCec	1446.5	0	0	0
Mouse2, F, NoAbCec	1446.583	0	0	0
Mouse4, F, AbSal	1446.583	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.583	5.8	1	1
Mouse7, F, AbSal	1446.583	0	0	0
Mouse9, F, NoAbCec	1446.583	0	0	0
Mouse2, F, NoAbCec	1446.667	0	0	0
Mouse4, F, AbSal	1446.667	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.667	5.8	1	1
Mouse7, F, AbSal	1446.667	0	0	0
Mouse9, F, NoAbCec	1446.667	0	0	0
Mouse2, F, NoAbCec	1446.75	0	0	0
Mouse4, F, AbSal	1446.75	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.75	5.8	1	1
Mouse7, F, AbSal	1446.75	0	0	0
Mouse9, F, NoAbCec	1446.75	0	0	0
Mouse2, F, NoAbCec	1446.833	0	0	0
Mouse4, F, AbSal	1446.833	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.833	5.8	1	1
Mouse7, F, AbSal	1446.833	0	0	0
Mouse9, F, NoAbCec	1446.833	0	0	0
Mouse2, F, NoAbCec	1446.917	0	0	0
Mouse4, F, AbSal	1446.917	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1446.917	5.8	1	1
Mouse7, F, AbSal	1446.917	0	0	0
Mouse9, F, NoAbCec	1446.917	0	0	0
Mouse2, F, NoAbCec	1447	0	0	0
Mouse4, F, AbSal	1447	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447	5.8	1	1
Mouse7, F, AbSal	1447	0	0	0
Mouse9, F, NoAbCec	1447	0	0	0
Mouse2, F, NoAbCec	1447.083	0	0	0
Mouse4, F, AbSal	1447.083	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.083	5.8	1	1
Mouse7, F, AbSal	1447.083	0	0	0
Mouse9, F, NoAbCec	1447.083	0	0	0
Mouse2, F, NoAbCec	1447.167	0	0	0
Mouse4, F, AbSal	1447.167	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.167	5.8	1	1
Mouse7, F, AbSal	1447.167	0	0	0
Mouse9, F, NoAbCec	1447.167	0	0	0
Mouse2, F, NoAbCec	1447.25	0	0	0
Mouse4, F, AbSal	1447.25	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.25	5.8	1	1
Mouse7, F, AbSal	1447.25	0	0	0
Mouse9, F, NoAbCec	1447.25	0	0	0
Mouse2, F, NoAbCec	1447.333	0	0	0
Mouse4, F, AbSal	1447.333	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.333	5.8	1	1
Mouse7, F, AbSal	1447.333	0	0	0
Mouse9, F, NoAbCec	1447.333	0	0	0
Mouse2, F, NoAbCec	1447.417	0	0	0
Mouse4, F, AbSal	1447.417	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.417	5.8	1	1
Mouse7, F, AbSal	1447.417	0	0	0
Mouse9, F, NoAbCec	1447.417	0	0	0
Mouse2, F, NoAbCec	1447.5	0	0	0
Mouse4, F, AbSal	1447.5	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.5	5.8	1	1
Mouse7, F, AbSal	1447.5	0	0	0
Mouse9, F, NoAbCec	1447.5	0	0	0
Mouse2, F, NoAbCec	1447.583	0	0	0
Mouse4, F, AbSal	1447.583	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.583	5.8	1	1
Mouse7, F, AbSal	1447.583	0	0	0
Mouse9, F, NoAbCec	1447.583	0	0	0
Mouse2, F, NoAbCec	1447.667	0	0	0
Mouse4, F, AbSal	1447.667	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.667	5.8	1	1
Mouse7, F, AbSal	1447.667	0	0	0
Mouse9, F, NoAbCec	1447.667	0	0	0
Mouse2, F, NoAbCec	1447.75	0	0	0
Mouse4, F, AbSal	1447.75	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.75	5.8	1	1
Mouse7, F, AbSal	1447.75	0	0	0
Mouse9, F, NoAbCec	1447.75	0	0	0
Mouse2, F, NoAbCec	1447.833	0	0	0
Mouse4, F, AbSal	1447.833	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.833	5.8	1	1
Mouse7, F, AbSal	1447.833	0	0	0
Mouse9, F, NoAbCec	1447.833	0	0	0
Mouse2, F, NoAbCec	1447.917	0	0	0
Mouse4, F, AbSal	1447.917	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1447.917	5.8	1	1
Mouse7, F, AbSal	1447.917	0	0	0
Mouse9, F, NoAbCec	1447.917	0	0	0
Mouse2, F, NoAbCec	1448	0	0	0
Mouse4, F, AbSal	1448	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448	5.8	1	1
Mouse7, F, AbSal	1448	0	0	0
Mouse9, F, NoAbCec	1448	0	0	0
Mouse2, F, NoAbCec	1448.083	0	0	0
Mouse4, F, AbSal	1448.083	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.083	5.8	1	1
Mouse7, F, AbSal	1448.083	0	0	0
Mouse9, F, NoAbCec	1448.083	0	0	0
Mouse2, F, NoAbCec	1448.167	0	0	0
Mouse4, F, AbSal	1448.167	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.167	5.8	1	1
Mouse7, F, AbSal	1448.167	0	0	0
Mouse9, F, NoAbCec	1448.167	0	0	0
Mouse2, F, NoAbCec	1448.25	0	0	0
Mouse4, F, AbSal	1448.25	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.25	5.8	1	1
Mouse7, F, AbSal	1448.25	0	0	0
Mouse9, F, NoAbCec	1448.25	0	0	0
Mouse2, F, NoAbCec	1448.333	0	0	0
Mouse4, F, AbSal	1448.333	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.333	5.8	1	1
Mouse7, F, AbSal	1448.333	0	0	0
Mouse9, F, NoAbCec	1448.333	0	0	0
Mouse2, F, NoAbCec	1448.417	0	0	0
Mouse4, F, AbSal	1448.417	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.417	5.8	1	1
Mouse7, F, AbSal	1448.417	0	0	0
Mouse9, F, NoAbCec	1448.417	0	0	0
Mouse2, F, NoAbCec	1448.5	0	0	0
Mouse4, F, AbSal	1448.5	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.5	5.8	1	1
Mouse7, F, AbSal	1448.5	0	0	0
Mouse9, F, NoAbCec	1448.5	0	0	0
Mouse2, F, NoAbCec	1448.583	0	0	0
Mouse4, F, AbSal	1448.583	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.583	5.8	1	1
Mouse7, F, AbSal	1448.583	0	0	0
Mouse9, F, NoAbCec	1448.583	0	0	0
Mouse2, F, NoAbCec	1448.667	0	0	0
Mouse4, F, AbSal	1448.667	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.667	5.8	1	1
Mouse7, F, AbSal	1448.667	0	0	0
Mouse9, F, NoAbCec	1448.667	0	0	0
Mouse2, F, NoAbCec	1448.75	0	0	0
Mouse4, F, AbSal	1448.75	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.75	5.8	1	1
Mouse7, F, AbSal	1448.75	0	0	0
Mouse9, F, NoAbCec	1448.75	0	0	0
Mouse2, F, NoAbCec	1448.833	0	0	0
Mouse4, F, AbSal	1448.833	5.8	0.14146341463414633	0.14146341463414633
Mouse5, F, AbCec	1448.833	5.8	1	1
Mouse7, F, AbSal	1448.833	0	0	0
